Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,index
FIZZ,8.7125,0.1423,2.4578,0.0587,0.335,0.39832003772546865,0.41435639529305146,1.4652723704532036
PEP,14.821,0.1027,3.855,0.0284,0.0,5.818141363198102,0.43167716989319627,2.6479725694430316
PG,7.2453,0.1892,4.527,0.0228,0.2887,1.4884604209040722,0.37733580849724,1.9212091306919947
RAD,1.2088,-0.0151,0.87,0.0,-0.4823,14.952890199290923,1,1.522859215943274
SFM,3.0059,0.0402,0.9218,0.0,0.3665,2.443575436972273,0.5557155030146335,0.8036078953195378
SYY,28.085,-0.0004,2.1347,0.0253,-0.0112,16.49335813312349,5.863894573392054,4.7829959994569275
HSY,14.9267,0.1487,4.276,0.0217,0.6206,3.48000391121541,0.5650883039548468,2.7171029093718144
TR,2.7409,0.1227,1,0.0115,0.0771,0.2905127042636652,5.170717640257485,1.1394311331719913
THS,1.2376,-0.0012,1.8017,0.0,-0.0048,1.9474634706944673,1,0.8060610776555575
TSN,1.5305,0.0496,1.1797,0.0274,0.1442,1.2464274167474942,1.2656422183166374,0.6972232595377961
UL,8.1081,0.1145,2.8119,0.032,0.4022,3.5001598567683354,0.43708439900874435,1.758566916422516
UNFI,0.8842,-0.0103,3.74,0.0,-0.192,5.629824982856444,1,1.4986739986285156
WDFC,21.7929,0.1486,2.35,0.0105,0.3971,1.2620561027489974,0.4884053692780421,2.571461132533285
PEP,14.821,0.1027,3.855,0.0284,0.0,5.818141363198102,0.43167716989319627,2.6479725694430316
PG,7.2453,0.1892,4.527,0.0228,0.2887,1.4884604209040722,0.37733580849724,1.9212091306919947
RAD,1.2088,-0.0151,0.87,0.0,-0.4823,14.952890199290923,1,1.522859215943274
SFM,3.0059,0.0402,0.9218,0.0,0.3665,2.443575436972273,0.5557155030146335,0.8036078953195378
SYY,28.085,-0.0004,2.1347,0.0253,-0.0112,16.49335813312349,5.863894573392054,4.7829959994569275
HSY,14.9267,0.1487,4.276,0.0217,0.6206,3.48000391121541,0.5650883039548468,2.7171029093718144
TR,2.7409,0.1227,1,0.0115,0.0771,0.2905127042636652,5.170717640257485,1.1394311331719913
THS,1.2376,-0.0012,1.8017,0.0,-0.0048,1.9474634706944673,1,0.8060610776555575
TSN,1.5305,0.0496,1.1797,0.0274,0.1442,1.2464274167474942,1.2656422183166374,0.6972232595377961
UL,8.1081,0.1145,2.8119,0.032,0.4022,3.5001598567683354,0.43708439900874435,1.758566916422516
UNFI,0.8842,-0.0103,3.74,0.0,-0.192,5.629824982856444,1,1.4986739986285156
WDFC,21.7929,0.1486,2.35,0.0105,0.3971,1.2620561027489974,0.4884053692780421,2.571461132533285
PTR,0.3388,0.0087,1.5944,0.0743,0.0244,1.1206903817028524,14.8434221601402,2.2958138897530516
PSX,1.4447,-0.0351,2.6739,0.0543,-0.0976,1.7523070682486563,3.30302752153818,1.275239868044474
SUN,4.5143,0.0173,-3.0,0.1146,0.3035,7.067716535433071,0.5043959219212519,0.3443088334651961
TRCH,2.4985,0.0,1,0.0,-0.7823,1.2893660622148286,1,0.5065692849771863
AFL,0.9864,0.211,0.93,0.0292,0.1488,3.955663659595431,2.51748902490691,0.9876877757564639
ALL,1.2497,0.1068,2.1346,0.0207,0.177,3.5024392033158493,1.4428736797468673,1.120591977834892
AXP,4.44,0.1052,15.0888,0.0143,0.151,7.562760071333852,1.1103000675836725,4.763516813816749
APAM,24.6987,0.2174,1.38,0.0607,1.435,6.391256777958217,1.2733468247409216,3.300266161205568
OZK,0.9154,0.3549,1,0.038,0.0658,5.422214445504785,1,0.9415131556403828
BCS,0.3561,0.1623,0.8373,0.111,0.0423,19.963622154063938,61.71748727116572,9.280376244865002
BX,6.7916,0.1702,0.62,0.0316,0.1014,3.052105296372589,1.2826418012559992,1.141517439860527
BPFH,0.7466,0.1415,2.66,0.0317,0.0501,10.145888114549221,1.3217806602930595,1.7048767283991046
JRJC,1.1559,-0.2457,1,0.0,-0.6011,3.040893024920585,1,0.5362114419936468
C,0.6754,0.2074,1.6438,0.036,0.0618,10.525196517361612,2.2374813794302946,1.6089214869205644
CS,0.5901,0.1741,1.0759,0.0235,0.0848,16.955749890686487,1.7523181856600707,1.9197981735341272
DB,0.3273,-0.0562,1.55,0.0192,-0.0171,21.90386519672564,1,2.2603852157380517
DLR,2.2748,0.1788,5.2025,0.0328,0.0455,1.0054127809270539,-0.11586506178902571,1.5387572150594813
DFS,2.6427,0.182,0.1439,0.0223,0.0956,11.129243074522044,8.361797556670668,2.1906231527622433
EXR,6.0575,0.3228,20.8043,0.0327,0.1662,2.6668324066958973,-0.02337676413202451,5.776985380839829
FICO,41.6168,0.1826,2.71,0.0,0.7616,3.8514869428117504,0.4502034158761528,4.523423365330078
GBCI,1.838,0.3496,2.1,0.0284,0.115,6.949161651713081,0.7542312485353683,1.3798246819612907
GEC,1.2631,-0.2087,1,0.0,-0.2091,2.1991055736335636,1,0.5617644458906851
ICE,3.0668,0.3551,1.8958,0.0114,0.1117,5.733610220282845,0.5816063061386487,1.3093415743592653
IRM,8.1838,0.0319,1.08,0.0929,0.1034,13.597032727055483,2.2071953560696382,2.3034620608927954
JPM,1.5431,0.2603,8.5474,0.0297,0.0953,10.973147728069108,0.6847638766556395,3.199119483444205
KEY,1.0189,0.2291,2.7702,0.0453,0.07,8.623067373885567,1.6283748738393458,1.687702374771567
KKR,2.0793,0.2152,0.13,0.0139,0.0642,4.792533663844923,-5.787436650594008,-0.06460570496368705
LAZ,5.8434,0.1199,1.4453,0.0496,0.3924,6.879640479495196,2.3954348491574162,1.7557834202585056
L,0.6869,-0.0873,2.69,0.0056,-0.0742,3.5742574257425743,1.8846832750303428,1.184518587063047
MTB,1.0451,0.2662,40.734,0.0364,0.0863,7.609814984932935,1.2914400684835607,10.687746007012661
MA,58.3208,0.4313,2.0172,0.0047,1.2307,4.451000690131125,0.42944105228747587,5.873116981484987
