Godrej Consumer,532424,BSE LTD,Large Blend,"Personal Care, Drug",Personal care,,,,,,
Products Ltd,,,,& Grocery Stores,,,,,,,
Hindustan Unilever,500696,BSE LTD,Large Growth,"Personal Care, Drug",Personal care,,,,,,
Ltd,,,,& Grocery Stores,,,,,,,
ITC Ltd,500875,BSE LTD,Large Blend,"Food, Beverage &",Tobacco,,,,,,
,,,,Tobacco,,,,,,,
J&J Snack Foods Corp,JJSF,Nasdaq,Small Growth,"Food, Beverage &",Foods,,,,,,
,,,,Tobacco,,,,,,,
JBS SA,JBSS3,"B3 S.A. - Brasil, Bolsa,",Large Blend,"Food, Beverage &",Foods,,,,,,
,,Balcão,,Tobacco,,,,,,,
Kellogg Co,K,New York Stock,Mid Value,"Food, Beverage &",Foods,,,,,,
,,"Exchange, Inc.",,Tobacco,,,,,,,
Keurig Dr Pepper Inc,KDP,New York Stock,Large Blend,"Food, Beverage &",Beverage: Soft,,,,,,
,,"Exchange, Inc.",,Tobacco,drinks,,,,,,
Kweichow Moutai Co,600519,Shanghai Stock Exchange,Large Growth,"Food, Beverage &",Beverage: Brewers,,,,,,
Ltd,,,,Tobacco,and distillers,,,,,,
M Dias Branco SA,MDIA3,"B3 S.A. - Brasil, Bolsa,",Mid Growth,"Food, Beverage &",Foods,,,,,,
Industria e Comercio,,Balcão,,Tobacco,,,,,,,
de Alimentos,,,,,,,,,,,
McCormick & Co Inc,MKC,New York Stock,Large Blend,"Food, Beverage &",Foods,,,,,,
,,"Exchange, Inc.",,Tobacco,,,,,,,
McKesson Corp,MCK,New York Stock,Large Value,"Personal Care, Drug",Drug and grocery,,,,,,
,,"Exchange, Inc.",,& Grocery Stores,store chains,,,,,,
Molson Coors,TAP,New York Stock,Mid Value,"Food, Beverage &",Beverage: Brewers,,,,,,
Beverage Co,,"Exchange, Inc.",,Tobacco,and distillers,,,,,,
Monster Beverage,MNST,Nasdaq,Large Growth,"Food, Beverage &",Beverage: Soft,,,,,,
Corp,,,,Tobacco,drinks,,,,,,
National Beverage,FIZZ,Nasdaq,Small Growth,"Food, Beverage &",Beverage: Soft,,,,,,
Corp,,,,Tobacco,drinks,,,,,,
