Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,index
TVTY,20.2887,-0.4068,0.662,0,-1.6887,34.972058,0.931112984,1.078223569
UNH,4.5291,0.0663,1.4485,0.0154,0.2635,1.896037638,0.522529368,1.072045159
ZGNX,2.7919,0,-0.42,0,-0.9776,0.370150786,1,1.071423883
APD,5.6485,0.2158,2.1024,0.0182,0.1658,1.094293826,0.324424298,1.056955366
ACH,0.4624,0.001,1,0,0.0078,2.70682635,116.9212264,1.050665344
ASH,1.5321,-0.0439,-1.36,0.0144,-0.149,1.318619316,0.011610443,1.045923748
BECN,1.4946,-0.018,1.65,0,-0.058,3.079282897,1,1.041220808
CHNR,0,0.0022,1,0,0,-1.159131862,1,1.032883818
CLW,1.4083,0.0131,4.05,0,0.0533,2.911427358,-0.706181754,1.027077719
EMN,1.9362,0.0664,5.5148,0.0308,0.097,1.640093008,0.854978195,1.027077719
FMC,5,0.1035,1.4303,0.0164,0.1952,2.530933314,0.246409609,1.020585115
FCX,2.7815,-0.0492,0.2,0.0348,-0.0353,2.577060532,7.235277766,1.009197972
FFHL,0.398,0.1227,1,0,0.1899,0.976586482,3.289266335,0.995602384
ROCK,3.1265,0.0716,1.02,0,0.1168,0.424552386,0.895214728,0.989510535
IOSP,1.7371,0.0396,-2.95,0.0154,0.062,0.46786032,0.171887409,0.980194936
KALU,1.3883,0.0269,2.24,0.0412,0.0509,1.571508069,1.399655989,0.973771422
NP,1.8473,-0.0044,1.85,0.0478,-0.0097,1.660335196,1.052415592,0.970608198
NTIC,1.3522,0.0246,1,0.0371,0.0284,0.084437799,10.47001039,0.961771364
PKX,0.3659,0.0152,9.86,0.0094,0.0222,0.852247721,2212.040482,0.960202501
KWR,3.0045,-0.0246,2.67,0.0082,-0.0415,1.460426649,1.121443711,0.923071755
ROLL,2.7495,0.1686,3.14,0,0.1105,0.180787391,0.357972516,0.921300064
RIO,1.9086,0.1721,1,0.0645,0.1704,1.155032633,2.014028813,0.909610279
RGLD,3.536,0.4027,1.41,0.0094,0.0878,0.204279785,-0.229548428,0.909610279
SSRM,3.704,0.0995,1,0,0.0494,0.413246719,1.379795341,0.898415225
X,0.5277,-0.1614,1.68,0.0045,-0.4349,2.459773293,-0.0268779,0.882752805
AAL,0,-0.104,0.6272,0.0303,0,-21.3673083,(-0.2948244319050673+0.0036181663975380905j),0.872364
ARCB,1.1585,0.0101,3,0.0098,0.0376,1.329418094,1.669022938,0.867430632
ASGN,2.587,0.0479,2.02,0,0.1382,1.103836387,0.692035952,0.853992687
BA,0,-0.0427,6.5305,0.0553,0,-14.93563041,(0.9748618975904161+0.0007001618589814477j),0.827845972
CEA,0.778,-0.0836,1.5502,0.0168,-0.129,3.832339766,21.68884787,0.826725717
ZNH,0.7745,-0.0599,0.6871,0.0164,-0.1019,3.46534847,10.30176699,0.814818187
CYD,0.5972,0.0298,1,0.0441,0.0758,1,22.15074668,0.811299861
DAL,5.9537,-0.4288,10.1656,0.0698,-1.1432,22.55555556,1.783418989,0.811299861
PLOW,4.4223,-0.1834,1.8,0.0318,-0.3757,2.070431623,0.912099763,0.802290879
FCN,2.8207,0.0807,1.61,0,0.1342,0.828748235,0.579518657,0.799388909
GSH,0.2939,-0.034,0.812,0.0488,-0.0218,0.295587821,3.523657156,0.797675994
HTLD,2.3521,0.1004,2.23,0.0041,0.0945,0.324336941,-0.124663796,0.796130068
JBLU,0.8191,-0.0405,6.8,0,-0.0546,2.1358085,1.50313248,0.790779785
KSU,3.8256,0.2168,2.5131,0.0089,0.1162,1.253953173,0.295664493,0.787650098
LMT,28.8038,0.1025,1.8242,0.0271,1.9303,12.21460944,0.498608598,0.7698113
PCAR,3.224,0.0795,2.08,0.0141,0.1696,1.700924638,0.322241376,0.760755178
SKYW,0.7168,0.0651,1.02,0.0206,0.0802,2.049429248,-1.684325474,0.739305022
SNA,2.4677,0.1521,2.3648,0.0277,0.1737,0.747096108,0.721964443,0.71362419
LUV,2.1517,0.0098,14.4712,0.0213,0.0157,1.961849605,1.261340962,0.71362419
SAVE,0.6711,-0.0026,20.44,0,-0.0034,1.77329267,-1.617725843,0.705942536
MIDD,2.9493,0.1075,1.1643,0,0.153,1.791778056,0.773922202,0.69495248
TWI,1.1117,-0.0584,-1.21,0.0058,-0.2861,4.730699709,1,0.693196571
VRSK,14.3626,0.1912,3.04,0.0056,0.2352,2.220394283,0.436629591,0.671125958
WNC,1.9189,-0.0334,1,0.0224,-0.1407,1.904922727,1.590272649,0.667463073
ZTO,4.1348,0.2433,23.96,0.0104,0.1481,0.246869861,0.22752403,0.660933884
ADBE,20.5936,0.3105,2.3997,0,0.3518,0.913600273,0.342519879,0.641971772
BABA,6.7602,0.32,1.4764,0,0.2151,0.554610283,2.065011006,0.630937462
GOOG,5.1606,0.1899,1.8136,0,0.1579,0.34328243,0.903209615,0.607233836
AAPL,27.4419,0.2133,2.8636,0.0071,0.6925,3.390359979,0.462505342,0.599993955
ANET,5.6447,0.3316,2.0733,0,0.2707,0.427918747,0.397686002,0.592241768
BIDU,1.9059,0.034,2.3063,0,-0.0109,0.813602903,15.58509189,0.587073267
BNFT,0,-0.1371,-5.06,0,-9.2528,-6.67788005,1,0.586276
CTSH,3.6433,0.0967,2.5879,0.0122,0.1505,0.66022603,0.652890317,0.565694685
DXC,1.1168,-0.299,0.28,0.0507,-0.7086,5.073154801,2.100142312,0.544900322
FB,6.8796,0.313,0.966,0,0.2361,0.264778582,0.582649263,0.540163755
GRPN,4.9355,-0.12,0.7507,0,-1.0361,10.6239869,12938.14652,0.534524192
MANH,43.3903,0.1416,3.6403,0,0.5568,1.30372174,0.544400391,0.526708515
MSFT,14.0512,0.3096,2.5959,0.0105,0.4014,1.54692149,0.360944957,0.526595442
NTES,4.7,0.3638,68.15,0.0136,0.2046,0.666528287,1.459421515,0.450275527
NXPI,4.3125,-0.0014,1.6385,0.0109,0.0022,1.354321824,19.04990249,0.448876916
ORCL,19.1262,0.2613,1.5566,0.0159,0.703,10.89516384,0.959691165,0.431134287
SINA,1.0829,-0.0467,-1.96,0,0.0166,1.503707086,0.332012551,0.415772513
WORK,21.659,-0.4273,1,0,-0.4014,1.570828223,1,0.381947706
SOHU,2.5618,-0.0771,-0.64,0,-0.0359,5.602074436,1,0.292907283
NCTY,0,0,1,0,0,-1.684521586,1,0.267621451
TWTR,4.7314,-0.3706,3.64,0,-0.1539,0.638482226,0.185212708,0.257725814
UTSI,0.3912,-0.0596,1,0,-0.0389,0.525416381,-25.89547206,0.256424428
ZNGA,5.6738,-0.0172,1.28,0,-0.016,1.121605798,5.047160994,0.231123977
AEP,2.2205,0.1254,2.8152,0.0307,0.0954,2.868628607,-0.293287532,0.225238273
AWK,4.4561,0.1729,4.4498,0.0142,0.1032,2.420795204,-0.07143474,0.128872155
T,1.1071,0.0684,6.8941,0.0774,0.068,2.015082776,1.057184571,0.097607465
CHL,0.786,0.1425,3.8407,0.0615,0.0963,0.531006441,3.335548424,0.076644063
CHA,0.4645,0.0542,1.2011,0.0522,0.0586,0.991642635,5.683362383,0.045993554
CHU,0.4353,0.0406,1.6621,0.0307,0.0378,0.764112522,5.522108355,-0.044673002
D,2.5635,0.0324,30.2469,0.0465,0.0211,2.523085449,-0.100967069,-0.132045201
FE,2.3914,0.0621,3.1409,0.0492,0.0748,4.936301274,0.170909853,-0.227781927
GOGO,0,-0.307,-0.43,0,0,-2.871323704,1,-0.231888892
GTT,1.599,-0.0951,2.8411,0,-0.5814,23.08028455,1,-0.262025896
HNP,0.3227,0.0212,0.742,0.0496,0.0381,2.454165457,33.32375403,-0.290387758
MSEX,3.4461,0.2659,10.95,0.0153,0.1217,1.834551075,-0.098005909,-0.490392685
NFG,1.7301,0.0445,2.05,0.043,0.0316,2.198311931,0.024775144,-1.025260326
PCG,5.8814,-0.3795,1.592,0,-0.9499,29.70639617,1,-2.811443337
SRE,1.8095,0.3912,2.8606,0.0327,0.1105,1.821528425,-0.203512219,-3.501126404
SJW,1.96,0.052,0.5327,0.021,0.0292,2.451080345,8.08938226,-5.430149337
SO,2.2146,0.1575,3.597,0.0441,0.1005,2.712358923,-0.261209455,-8.812026557
YORW,4.2254,0.3035,7.71,0.0159,0.12,1.714466126,0.041580698,-16.68827661
UGI,1.736,0.0716,2.65,0.0392,0.0942,2.352485036,0.732310307,-17.56791516
VZ,3.8386,0.1476,3.931,0.0438,0.3225,3.65481602,0.580569116,-437.5368721
VOD,0.5313,-0.0205,0.6057,0.0686,-0.0072,1.718661456,1,-7.10781E+12
