Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,,index
ONB,0.7931,0.2644,2.45,0.0397,0.07,6.71655736,0.501820947,1.310059102,1.388160921
CTSH,3.6433,0.0967,2.5879,0.0122,0.1505,0.66022603,0.652890317,1.09076092,1.387113068
PBH,1.4787,0.1584,3.0125,0,0.1306,1.811823663,1.051039173,1.163830594,1.386818731
ALL,1.1558,0.1028,2.015,0.0236,0.175,3.493663381,1.403220819,1.078223569,1.386361314
ROLL,2.7495,0.1686,3.14,0,0.1105,0.180787391,0.357972516,1.080055693,1.385872745
SUN,3.3651,0.0129,-3,0.1338,0.2548,7.286407767,0.460198391,0.256424428,1.384441801
ATV,0.8904,0.2595,1,0.049,0.1589,0.197365748,-2.311075874,0.128872155,1.383924206
T,1.1071,0.0684,6.8941,0.0774,0.068,2.015082776,1.057184571,2.065052771,1.383707671
C,0.5162,0.2074,1.6438,0.0476,0.0618,10.64811452,2.098415412,1.590723011,1.383267865
SO,2.2146,0.1575,3.597,0.0441,0.1005,2.712358923,-0.261209455,1.276683579,1.383182024
BAX,5.096,0.081,2.538,0.0121,0.117,1.390871063,0.554404231,1.232410193,1.382786296
PCAR,3.224,0.0795,2.08,0.0141,0.1696,1.700924638,0.322241376,0.980194936,1.382239816
HIBB,2.3364,0.0256,7.81,0,0.0972,1,1,2.284848,1.381813793
DLR,2.8087,0.2116,3.0908,0.0289,0.0511,0.950241652,-0.150051443,1.072045159,1.380957571
TIF,4.6606,0.0672,4.5553,0.019,0.0772,1.1454096,0.549652308,1.652183045,1.379666722
EMN,1.9362,0.0664,5.5148,0.0308,0.097,1.640093008,0.854978195,1.745972824,1.379552611
AFL,0.9017,0.1349,0.93,0.0307,0.1016,4.33946295,2.67597447,1.009197972,1.379532699
MIDD,2.9493,0.1075,1.1643,0,0.153,1.791778056,0.773922202,0.799388909,1.3793579
GEO,1.3966,0.0596,0.8434,0.1322,0.1482,3.381692674,0.829880067,0.739305022,1.379327596
CHA,0.4645,0.0542,1.2011,0.0522,0.0586,0.991642635,5.683362383,1.113414897,1.378954893
CMCSA,2.4645,0.1091,1.2832,0.0208,0.1419,2.090128447,0.784565926,0.814818187,1.378371938
CASY,3.8948,0.0393,1.8785,0.007,0.1843,1.340625889,0.063649937,0.921300064,1.377956909
RF,0.7509,0.1652,2.7491,0.0502,0.0436,7.183388251,1.918806277,1.565959813,1.377022635
DIS,2.6687,-0.0158,13.6206,0,-0.0087,1.418291291,0.350249758,3.633665274,1.376787592
CS,0.5098,0.1879,0.6779,0.0134,0.0928,16.8033738,1.752508599,1.808282936,1.375595437
GMED,4.049,0.119,2.9962,0,0.0678,0.096406279,0.647199572,1.160984451,1.375024356
TXRH,5.8968,0.0246,3.1996,0.0321,0.0744,1.437482503,0.78476922,1.471486907,1.374435919
KMX,3.8622,0.0354,2.2573,0,0.1817,4.334836387,-0.425761986,1.188427473,1.374167056
BMY,2.7739,-0.0162,0.8015,0.0294,-0.0165,1.607446939,7.844679646,1.481865313,1.371292747
AEP,2.2205,0.1254,2.8152,0.0307,0.0954,2.868628607,-0.293287532,1.090411785,1.371070297
FCN,2.8207,0.0807,1.61,0,0.1342,0.828748235,0.579518657,0.787650098,1.370721341
LCII,3.6306,0.0454,1.09,0.0255,0.1351,1.471466882,0.754722027,0.797675994,1.370587459
CHU,0.4353,0.0406,1.6621,0.0307,0.0378,0.764112522,5.522108355,1.175250004,1.370025046
DLTR,3.3282,0.0361,1.5513,0,0.1401,1,1,0.872364,1.369007326
AMN,3.968,0.0365,2.1798,0,0.1184,2.041931758,0.699928098,1.117457912,1.368032536
ASGN,2.587,0.0479,2.02,0,0.1382,1.103836387,0.692035952,0.898415225,1.367389315
PRU,0.3972,-0.0022,1.9352,0.0671,-0.0017,12.88190661,6.513429081,2.315748019,1.366798437
UGI,1.736,0.0716,2.65,0.0392,0.0942,2.352485036,0.732310307,1.08595604,1.36635029
ROCK,3.1265,0.0716,1.02,0,0.1168,0.424552386,0.895214728,0.671125958,1.366198877
WFC,0.5925,0.0535,1.954,0.0177,0.0176,9.970923037,5.240785337,1.957132083,1.366177883
BPFH,0.6425,0.1342,2.66,0.0379,0.0479,10.09894632,1.294718953,1.68868198,1.365955823
FE,2.3914,0.0621,3.1409,0.0492,0.0748,4.936301274,0.170909853,1.391341284,1.363206493
JJSF,3.0722,0.0349,5.25,0.0175,0.0466,0.233974833,0.47290164,1.598246183,1.362715183
ZNGA,5.6738,-0.0172,1.28,0,-0.016,1.121605798,5.047160994,1.450539783,1.362634274
TSN,1.483,0.0426,1.3213,0.0288,0.1254,1.312084815,1.146278373,0.71362419,1.36247517
TSN,1.483,0.0426,1.3213,0.0288,0.1254,1.312084815,1.146278373,0.71362419,1.36247517
HTLD,2.3521,0.1004,2.23,0.0041,0.0945,0.324336941,-0.124663796,0.7698113,1.362131783
SSRM,3.704,0.0995,1,0,0.0494,0.413246719,1.379795341,0.760755178,1.362086667
PSX,1.107,-0.0135,1.582,0.0712,-0.0352,1.507265267,6.78077196,1.401857857,1.361534852
CVS,1.1465,0.0314,0.9932,0.034,0.1273,2.457146217,1.114406522,0.69495248,1.358498007
GM,1.2179,0.0146,0.7754,0.0677,0.0359,4.936952982,3.927118982,1.167378516,1.358369589
BWA,2.0495,0.0508,1.1744,0.0176,0.1073,1.208848406,0.776993341,0.667463073,1.357931436
KDP,1.8269,0.1032,2.2738,0.0205,0.0508,1.138725298,0.588823178,0.882752805,1.357766409
